S. No.,UWTP ID,Lat Long,State ,Design capacity (MLD),Operational capacity (MLD),BOD_P1(mg/L),BOD_P2(mg/L),BOD_P3(mg/L),COD_P1(mg/L),COD_P2(mg/L),COD_P3(mg/L),TP_P1(mg/L),TP_P2(mg/L),TP_P3(mg/L),TN_P1(mg/L),TN_P2(mg/L),TN_p3(mg/L),TSS_P1(mg/L),TSS_P2(mg/L),TSS_P3(mg/L),FC_P1(MPN/100ml),FC_P2(MPN/100ml),FC_P3(MPN/100ml),BOD SCORE (11 mg/L),COD SCORE    (55 mg/L),TP SCORE        (1.1 mg/L),TN SCORE           (11 mg/L),TSS SCORE   (22 mg/L),FC SCORE    (253 MPN/100 mL),TOTAL SCORE  (MAX. 60),Latitude,Longitude
1,TN-803339-023,"13.0373199, 80.195908",Tamil Nadu,10,10,,42,5.8,,116,23.7,,1.6,0.42,,39,39,,38,2.1,,210,140,10,10,10,0,10,10,50,13.0373199,80.195908
2,TN-803339-10,"13.033739, 80.193252",Tamil Nadu,54,37.43,,42,9,,102,32,,1.4,0.28,,16,35,,28,1,,120,220,10,10,10,0,10,10,50,13.033739,80.193252
3,KA-803054-005,"16.783169, 75.737179",Karnataka,0.25,0.2,,18.5,15.6,,64.58,55.6,,1.39,7.44,,14.03,49.4,,37,10,,2,46,0,0,0,0,10,10,20,16.783169,75.737179
4,PB-800174-001,"31.949810, 75.598168",Punjab,5,2.5,,66,16,,220,43.2,,1.6,3.2,,28.4,20.46,,46,34,,542,14,0,10,0,0,0,10,20,31.94981,75.598168
5,RJ-800509-002,"26.0842442, 76.3780175",Rajasthan,10,0,,3,13.8,,40,36.3,,0.85,0.12,,1,0.98,,4,5,,26,11,0,10,10,10,10,10,50,26.0842442,76.3780175
6,KA-803067-001,"16.2293447, 77.3347508",Karnataka,20,20,,6.6,7.74,,32.13,28.3,,1,0.56,,10.8,2.69,,19,44,,2,70,10,10,10,10,0,10,50,16.2293447,77.3347508
7,RJ-800557-001,"24.5773017, 72.73278",Rajasthan,6,2.8,,2.5,1,,38,5,,0.38,0.05,,1.2,1,,4.5,6,,68,6,10,10,10,10,10,10,60,24.5773017,72.73278
8,HR-800369-005,"30.1160534, 77.2631847",HARYANA,25,25,2.4,11,1.5,7.97,54,6.5,0.054,2.2,0.13,1.34,16.2,1,14,12,5,140,460,4,10,10,10,10,10,10,60,30.1160534,77.2631847
9,HR-800369-004,"30.1291177, 77.3344166",HARYANA,24,24,2,14,7,5,65,25,0.144,2.24,0.05,1.99,15.5,1,12,14,56,90,520,25,10,10,10,10,0,10,50,30.1291177,77.3344166
10,HR-800369-001,"30.1212605, 77.3008013",HARYANA,10,10,5,12,1,15.9,60,4.5,0.114,2.13,0.12,0.75,22.8,1,18,11,5,170,510,3,10,10,10,10,10,10,60,30.1212605,77.3008013
11,HR-800369-002,"30.1278098, 77.2992349",HARYANA,10,10,11.4,11,2.5,35.8,52,12,0.076,2.16,0.72,1.71,18.9,1,26,14,8,60,540,6,10,10,10,10,10,10,60,30.1278098,77.2992349
12,HR-800369-003,"30.1161651, 77.2642939",HARYANA,20,20,11.5,10,1,36,50,5,0.146,2.7,0.05,0.53,28.9,1,10,9,5,26,240,3,10,10,10,10,10,10,60,30.1161651,77.2642939
13,DL-900118-024,"28.6460569, 77.0897219",Delhi,54.48,54.48,3,7,7.5,20,38,20,0,0.05,0.26,0,1.3,3.1,0,5,8,1.8,1.8,18,10,10,10,10,10,10,60,28.6460569,77.0897219
14,HR-800429-003,"28.4795314, 76.9907675",Haryana,50,45,5,5,1,20,25,6,0.05,0.05,0.05,1,1.4,1,5,5,5,1400,9200,4,10,10,10,10,10,10,60,28.4795314,76.9907675
15,DL-900118-036,"28.5870845, 77.0258129",DELHI,90.8,90.8,4,3,14,20,14,40,0,0.05,0.2,0,0.6,2.4,0,5,2,1.8,130,25,0,10,10,10,10,10,50,28.5870845,77.0258129
16,DL-900118-002,"28.52252252, 77.06514914",DELHI,23,23,13,5,23,70,26,90,0,0.05,1.7,0,1.6,16.4,0,5,45.9,2800,1700,120,0,0,0,0,0,10,10,28.52252252,77.06514914
17,HR-800429-007,"28.4723257, 76.9927485",Haryana,68,55,5,7,46,20,34,190,0.05,0.05,2.86,1,1.2,6.6,5,5,22,3500,7.8,110,0,0,0,10,10,10,30,28.4723257,76.9927485
18,WB-801744-001,"22.4735617, 88.1878038",West Bengal,9.3,9.3,5,23,19.2,12.48,49,58,1,0.8,0.21,22.64,6.64,11.2,10,25,16,1,22,10,0,0,10,0,10,10,30,22.4735617,88.1878038
19,HR-800430-001,"28.45142, 76.8157283",HARYANA,3,3,10,110,3,48,300,10,0.05,6,0.05,1,21.26,1,5,264,5,1.8,16,6,10,10,10,10,10,10,60,28.45142,76.8157283
20,HR-800380-001,"29.8738967, 77.05054",Haryana,4,2.296,6,7,4,30,20,3,0,0.5,0.18,0,4.53,1,0,14,13,920,11,4,10,10,10,10,10,10,60,29.8738967,77.05054
21,MP-802090-001,"26.5792478, 78.8281773",Madhya Pradesh,12,7,7.2,5.2,4.8,60,24,30,1.7502,0.05,4.28,8.24,0.5,8.96,12,5,8,1600,940,110,10,10,0,10,10,10,50,26.5792478,78.8281773
22,MP-802273-001,"22.7695741, 75.8759242",Madhya Pradesh,245,245,13.22,3.6,8.4,39.68,21,70,0.24,0.05,1.69,57.65,1.5,5.9,107,5,12,1,35000,412,10,0,0,10,10,0,30,22.7695741,75.8759242
23,CH-800286-001,"30.6752667, 76.7399647",Chandigarh,136.2,136.2,7,5.6,4,30,32,18,0,0.05,0.69,0,1.7,1,0,5,6,13,240,5,10,10,10,10,10,10,60,30.6752667,76.7399647
24,DL-900118-032,"28.5428492, 77.2849139",DELHI,136.4,136.4,6,5,12,30,24,30,0,0.05,0.26,0,1.2,2.9,0,6.2,3,1.8,1600,20,0,10,10,10,10,10,50,28.5428492,77.2849139
25,GJ-802484-016,"22.987758, 72.532946",Gujarat,48,48,19.6,8.75,5,75.75,29.96,1,1.21,0.82,1.37,7.98,5,2.3,8,10,95,1.8,17,2,10,10,0,10,0,10,40,22.987758,72.532946
26,WB-801742-002,"22.5222732, 88.2848132",WEST BENGAL,57,0,4,15,21.2,12.48,39,76.8,1.447,2.1,0.49,25.46,6.6,10.36,8,27,21,161,110,10,0,0,10,10,10,10,40,22.5222732,88.2848132
27,GJ-802484-009,"23.0368244, 72.576396",Gujarat,25,0,8.78,8.5,5,30.61,30.14,9.9,0.872,0.548,1,6.63,6.72,1.15,9,8,79,1.8,110,2,10,10,10,10,0,10,50,23.0368244,72.576396
28,GJ-802629-022,"21.2198654, 72.8151113",Gujarat,255,140.29,70,9.8,9.56,233.28,39.31,40.28,3.58,1.09,1.02,1.68,5.22,6.37,11.2,7,39,17,1.8,17,10,10,10,10,0,10,50,21.2198654,72.8151113
29,HR-900322-001,"30.0172385, 77.1600791",HARYANA,3.5,3.5,6,25,2,30,40,10,0,0.1,0.05,0,4.65,1,0,3,5,2200,25,3,10,10,10,10,10,10,60,30.0172385,77.1600791
30,HR-800384-001,"29.5346775, 76.9655662",HARYANA,7,7,9,180,10,50,380,6,0,6.7,0.32,0,26.15,1,6.5,22,21,5400,80,7,10,10,10,10,10,10,60,29.5346775,76.9655662
31,HR-800431-001,"28.22785, 77.07767",HARYANA,6,6,20,125,5,110,300,14,0,10,0.32,0,15.13,1,5.6,53,22,5400,90,6,10,10,10,10,10,10,60,28.22785,77.07767
32,MP-802273-002,"22.663108, 75.8300278",Madhya Pradesh,7,6,2.64,5.2,2.4,7.93,32,20,0.54,0.05,2.18,28.82,1.1,5.04,99,5,34,1,920,418,10,10,0,10,0,0,30,22.663108,75.8300278
33,DL-900118-011,"28.6076192, 77.3223526",Delhi,45.4,45.4,4.8,4.4,26,20,25,130,0,0.05,0.05,0,1.3,6.96,0,5,5,1.8,1.8,840,0,0,10,10,10,0,30,28.6076192,77.3223526
34,CH-800286-005,"30.771039, 76.7497599",Chandigarh,7.5,7.5,7,3,1,42,15,3,0.05,0.05,0.05,0.1,0.7,1,5,5,5,14,1.8,6,10,10,10,10,10,10,60,30.771039,76.7497599
35,MP-802083-002,"26.5166295, 77.9832156",Madhya Pradesh,25,16,6.8,4.8,12,45.9,27,100,3.29,0.05,0.75,10,1.6,5.6,14,5,12,2,920,140,0,0,10,10,10,10,40,26.5166295,77.9832156
36,DL-900118-022,"28.7244211, 77.1088158",Delhi,181.6,181.6,5,3.2,13,20,18,40,0.05,0.05,0.34,1,1.7,2.6,5,5,5,920,350,15,0,10,10,10,10,10,50,28.7244211,77.1088158
37,HR-800429-006,"28.4211954, 77.0326648",Haryana,50,45,7,41,1.5,30,176.3,10,0,1.8,0.05,0,20.6,1,0,39.6,6,920,1503,6,10,10,10,10,10,10,60,28.4211954,77.0326648
38,HR-800429-004,"28.4179311, 77.033142",Haryana,120,120,6,39,7.5,30,168.6,30,0,2.3,1.2,0,22.4,1,0,28.3,18,1700,1585,13,10,10,0,10,10,10,50,28.4179311,77.033142
39,DL-900118-031,"28.6076246, 77.3223704",Delhi,114,114,2.8,6,24,10,28,120,0,0.05,0.05,0,1,18.5,0,5,5,920,920,940,0,0,10,0,10,0,20,28.6076246,77.3223704
40,GJ-802629-007,"21.1586511, 72.8170647",Gujarat,277,187,10,6.5,7.1,27.5,20.14,24.83,2.26,0.18,1.07,32.2,5,3.62,12,10,14,23,11,94,10,10,10,10,10,10,60,21.1586511,72.8170647
41,DL-900118-013,"28.589333, 77.299641",Delhi,40.86,40.86,6,35,19,30,60,90,0,3.3,0.05,0,6.27,13.5,0,7,5,1600,45,720,0,0,10,0,10,0,20,28.589333,77.299641
42,HR-800437-002,"28.160573, 77.3427812",HARYANA,10,10,7,45,18,40,110,12,0,3.3,0.58,0,15.26,1,0,5,42,17000,80,9,0,10,10,10,0,10,40,28.160573,77.3427812
43,HR-800361-001,"30.800848, 76.893224",HARYANA,5,5,8,40,4,30,90,13,0,1.7,0.35,0,8.53,5.5,0,17,15,920,30,9,10,10,10,10,10,10,60,30.800848,76.893224
44,DL-900118-015,"28.6978933, 77.286415",Delhi,68,68,4.6,38,7.5,20,90,20,0,1.7,0.22,0,7.86,2.4,0,9,4,3500,40,10,10,10,10,10,10,10,60,28.6978933,77.286415
45,HR-800429-005,"28.4748012, 76.9900475",HARYANA,100,100,2,56,1,10,120,5,0.05,3.3,0.05,1,21.4,1,5,12,5,3500,70,5,10,10,10,10,10,10,60,28.4748012,76.9900475
46,GJ-802484-008,"23.0601, 72.5757",Gujarat,60,60,16.2,7,6,65.65,23.1,18.18,0.898,0.1,1.68,8.02,5,6.9,10,10,113,1.8,14,4,10,10,0,10,0,10,40,23.0601,72.5757
47,MH-802788-002,"19.0092324, 73.0186154",Maharashtra,100,100,5,12,5.5,10,34.7,18.18,1.4,1.9,0.5,13.3,5.8,5.75,5,4,80,14,3500,1600,10,10,10,10,0,0,40,19.0092324,73.0186154
48,GJ-802484-012,"23.0900559, 72.6448676",Gujarat,60,26,15,6.25,5,44.4,21.9,9.9,5.5,0.1,0.5,7.76,5,0.5,7.3,10,44,2,13,2,10,10,10,10,0,10,50,23.0900559,72.6448676
49,GJ-802629-006,"21.1211867, 72.8164776",Gujarat,215,107,15.5,7.5,11.28,51.84,26.4,35.56,0.4,0.1,1.24,0.84,5,3.47,11.2,10,24,11,15,94,0,10,0,10,0,10,30,21.1211867,72.8164776
50,GJ-802484-014,"22.9816183, 72.5257833",Gujarat,240,180,23.6,6.25,22,110,17.5,137.25,4.64,0.1,2.47,3.95,5,21.84,19,10,221,1.8,21,1600,0,0,0,0,0,0,0,22.9816183,72.5257833
51,DL-900118-021,"28.7223388, 77.1071871",Delhi,182,182,5,6.5,3.6,30,39,10,0.05,0.05,0.18,0,1.4,2.4,5,5,2,1.8,1.8,16,10,10,10,10,10,10,60,28.7223388,77.1071871
52,HR-800361-003,"30.8391655, 76.9296785",Haryana,0.25,0,14.3,10,5,63.2,20,19,3.9,0.3,0.58,57.2,11.68,5.75,8.33,5,22,162,20,15,10,10,10,10,10,10,60,30.8391655,76.9296785
53,HR-800437-003,"28.180015, 77.323246",Haryana,2.5,2.5,7,26,15.5,40,75,65,0.05,6.67,2.9,0,21.5,6.5,5,59,17,28000,50,27,0,0,0,10,10,10,30,28.180015,77.323246
54,HR-800437-001,"28.1360033, 77.31934",HARYANA,15,15,8,96,12,40,200,9,0.05,10,0.65,0,5.05,1,5,72,32,14000,80,18,0,10,10,10,0,10,40,28.1360033,77.31934
55,MH-802788-004,"19.0729771, 73.004046",Maharashtra,100,100,5,7,5,10,21.9,1,1.7,1,0.5,10.5,3.5,0.5,7,1,93,11,3500,1600,10,10,10,10,0,0,40,19.0729771,73.004046
56,MP-802273-003,"22.6741561, 75.833332",Madhya Pradesh,8,8,2,2.5,6,10,14,50,0.05,0.05,1.29,0.1,0.8,6.16,5,5,4,54000,1600,164,10,10,0,10,10,10,50,22.6741561,75.833332
57,CH-800286-002,"30.6930479, 76.7794672",CHANDIGARH,50,50,6,2.4,2,30,14,12,0.05,0.05,0.05,1,1.2,1,5,5,5,330,1.8,4,10,10,10,10,10,10,60,30.6930479,76.7794672
58,DL-900118-019,"28.7264771, 77.1871006",DELHI,318,318,5,4.2,7.7,20,26,20,0,0.05,0.22,0,0.8,2.6,0,5,2,1.8,1.8,15,10,10,10,10,10,10,60,28.7264771,77.1871006
59,DL-900118-028,"28.6569569, 77.0497792",DELHI,90.8,90.8,6,2.8,22,30,18,60,0,0.05,0.32,0,1,4.6,0,5,4,7.8,3500,35,0,0,10,10,10,10,40,28.6569569,77.0497792
60,DL-900118-034,"28.6076192, 77.3223526",Delhi,45.4,45.4,5.4,2.8,23,20,16,110,0,0.05,0.43,0,1.1,3.98,0,5,5,1600,1.8,920,0,0,10,10,10,0,30,28.6076192,77.3223526
61,GJ-802484-001,"22.991875, 72.5680167",Gujarat,60,60,3.56,12.5,9,15.07,48.26,29.41,1.24,0.4,2.35,10.07,5,8.05,21,10,165,1.8,11,900,10,10,0,10,0,0,30,22.991875,72.5680167
62,GJ-802484-003,"22.9882502, 72.5320988",Gujarat,35,35,26.75,24,5,88.86,71.4,1,2.95,0.68,1.11,9.72,5,0.5,24,10,60,2,26,2,10,10,0,10,0,10,40,22.9882502,72.5320988
63,GJ-802484-004,"22.9914304, 72.568135",Gujarat,106,95,24,42.5,18,105.2,117.6,98.04,10.8,0.91,1.9,10.2,5,16.09,8,10,135.5,90,21,220,0,0,0,0,0,10,10,22.9914304,72.568135
64,GJ-802484-007,"22.9374654, 72.6456471",Gujarat,35,35,13.5,18.5,19.5,52.6,60.58,78.43,5.6,0.42,1.31,5.25,5,33.33,11,10,85,6,21,1600,0,0,0,0,0,0,0,22.9374654,72.6456471
65,GJ-802484-013,"22.9794977, 72.5424808",Gujarat,155,155,5.86,27.5,6,25.12,79.8,19.8,1.06,0.61,0.66,6.4,5,2.3,37,10,26,1.8,17,2,10,10,10,10,0,10,50,22.9794977,72.5424808
66,GJ-802484-017,"22.9402787, 72.6385851",Gujarat,70,70,24.5,30,14,91.7,84.33,79.21,7.78,0.7,1.88,38.2,5,11.49,20,10,55,900,13,2,0,0,0,0,0,10,10,22.9402787,72.6385851
67,GJ-802484-018,"22.93693694, 72.64459229",Gujarat,100,100,5.84,18.25,8,25.12,61.6,29.41,2.02,0.42,1.76,9.45,5,6.9,14,10,105,1.8,26,1600,10,10,0,10,0,0,30,22.93693694,72.64459229
68,GJ-802629-009,"21.1833982, 72.8473015",Gujarat,122,110.55,25.5,9.75,4.32,77.8,35.2,16.68,4.55,0.1,0.5,9.43,5,4.32,7.4,10,23,2,17,63,10,10,10,10,0,10,50,21.1833982,72.8473015
69,GJ-802629-020,"21.2070912, 72.860225",Gujarat,211,174.31,17.75,22.5,7.94,55.54,74.26,28.56,5.46,0.52,0.628,6.58,5,6.18,18,10,12,2,14,120,10,10,10,10,10,10,60,21.2070912,72.860225
70,GJ-802629-025,"21.126931, 72.713187",Gujarat,53,24.01,9.75,28.5,8.7,34.56,95.62,25.99,0.18,0.84,1.06,2.52,5,5.06,0,10,11,13,17,40,10,10,10,10,10,10,60,21.126931,72.713187
71,MH-802788-005,"19.0963286, 73.0006319",MAHARASHTRA,87.5,87.5,19,8,5,60.2,23.7,72.73,1.6,1.3,0.8,13.2,3.8,11.49,3,5,138,21,5400,1600,10,0,10,0,0,0,20,19.0963286,73.0006319
72,MP-802100-002,"26.2808218, 78.2107304",Madhya pradesh,8,6,9.21,3.5,4.8,76.8,19,40,1.2,0.05,2.23,6.78,0.7,4.4,14,5,38,430,23,210,10,10,0,10,0,10,40,26.2808218,78.2107304
73,MP-802100-004,"26.24473, 78.2351529",Madhya pradesh,65,40,10.36,3.6,5.52,86.4,23,40,1.98,0.05,1.38,6.14,0.9,3.36,20,5,22,540,1600,280,10,10,0,10,10,0,40,26.24473,78.2351529
74,WB-801695-001,"22.8371018, 88.3897455",West Bengal,10,2.5,2,39,13,5,84,58,1,0.5,0.31,42.44,20,11.76,5,20,19,1,94,10,0,0,10,0,10,10,30,22.8371018,88.3897455
75,WB-886064-001,"22.5748532, 88.4392316",West Bengal,8.3,8.3,14,29,9.6,62,66,28.12,0.05,1.4,0.52,0.1,23,11.34,5,44,27.62,110,16645,10,10,10,10,0,0,10,40,22.5748532,88.4392316
76,TN-803339-008,"13.0647696, 80.1977761",Tamil Nadu,60,52,11,24,4.2,51.1,52,24.2,0.7,0.8,0.41,9.86,40,54,1.2,11,2.4,2,170,280,10,10,10,0,10,0,40,13.0647696,80.1977761
77,TN-803339-009,"13.0638395, 80.1994866",Tamil Nadu,120,65,9,24,15,30.6,68,60,0.62,1.1,0.99,9.01,49,95,9.6,23,5.8,2,220,94,0,0,10,0,10,10,30,13.0638395,80.1994866
78,CH-800286-006,"30.7427933, 76.7084717",CHANDIGARH,22.7,22.7,8,5,1,40,28,3,0.05,0.05,0.05,1,1.3,1,5,5,5,1.8,1.8,4,10,10,10,10,10,10,60,30.7427933,76.7084717
79,MP-802273-005,"22.681214, 75.891655",MADHYA PRADESH,6,6,7,5.5,27.6,40,27,230,0.05,0.05,3.3,1,1.4,7.98,5,5,16,220,1.8,184,0,0,0,10,10,10,30,22.681214,75.891655
80,TS-802918-001,"17.3818768, 78.5212729",TELANGANA,339,339,68,36,33,160,88,108,0.7,0.9,0.8,48,44,21,48,36,12,430,240,225,0,0,10,0,10,10,30,17.3818768,78.5212729
81,TN-803339-002,"13.0682741, 80.2005644",Tamil Nadu,34,31,16.7,36,9,61.3,92,36,0.59,1.1,0.54,7.88,49,74,8.8,23,1.9,1600,240,120,10,10,10,0,10,10,50,13.0682741,80.2005644
82,HR-800414-003,"28.881392, 76.597201",HARYANA,19.5,0,10.06,14,26.8,4,60,169,12,2.95,14.8,0.08,18.9,22.7,46,12,82,900,410,9,0,0,0,0,0,10,10,28.881392,76.597201
83,HR-800365-005,"30.391300, 76.800000",HARYANA,5,5,5,9,2.5,20,40,10,0,1.4,0.25,0,18,1,0,7,5,54000,110,5,10,10,10,10,10,10,60,30.3913,76.8
84,HR-800365-006,"30.3913534, 76.8030736",HARYANA,3.25,3.25,5,10,5,20,45,20,0,1.8,0.89,0,14,1.66,0,8,6,35000,120,7,10,10,10,10,10,10,60,30.3913534,76.8030736
85,HR-800413-001,"28.9723879, 76.3393589",HARYANA,5,0,43,12.5,22.5,135,55,94.2,3.4,3.1,11.2,10.73,15.2,15.5,110,26,40,900,220,7,0,0,0,0,0,10,10,28.9723879,76.3393589
86,HR-800415-001,"28.8289113, 76.4159222",HARYANA,3.5,0,28,16.5,8.26,84,68,31.4,3.6,2.8,3.17,9.32,18.8,6.24,34,12,48,1600,180,11,10,10,0,10,0,10,40,28.8289113,76.4159222
87,HR-800418-001,"28.6695249, 76.9403597",HARYANA,36,0,52,17,8,167,72,35,4.7,3.4,0.92,9.8,22,1.75,79,42,9,500,160,5,10,10,10,10,10,10,60,28.6695249,76.9403597
88,HR-900117-001,"29.4918574, 75.8925125",HARYANA,6.5,6.5,18,12,1,90,50,6,0,2.6,0.05,0,20.2,1,0,10,5,22000,210,4,10,10,10,10,10,10,60,29.4918574,75.8925125
89,TS-802918-004,"17.3727638, 78.4325953",TELANGANA,51,51,50,36,22,120,84,80,0.9,1.5,0.5,19,24,19,8,55,12,350,170,126,0,0,10,0,10,10,30,17.3727638,78.4325953
90,TS-802918-002,"17.3829806, 78.5735567",TELANGANA,172,172,80,24,14,184,68,48,0.56,0.7,0.4,54,32,24,53,40,24,430,170,154,0,10,10,0,0,10,30,17.3829806,78.5735567
91,WB-801692-001,"22.9292758, 88.4177457",West Bengal,16,16,12,52,21,33.28,111,67,1,0.5,0.15,11.32,17,12.88,5,29,21,2.1,29411,10,0,0,10,0,10,10,30,22.9292758,88.4177457
92,WB-801693-001,"22.9494975, 88.4447796",West Bengal,18,18,14,44,19,41.6,93,77,1.044,2.4,0.35,45.27,9.4,12.04,34,24,17,79,49,10,0,0,10,0,10,10,30,22.9494975,88.4447796
93,TN-803339-013,"12.9568343, 80.2357833",TAMIL NADU,54,54,16,30,11,56,76,48,2.5,1.7,0.92,32,30,43,10,22,4.8,220,280,140,10,10,10,0,10,10,50,12.9568343,80.2357833
94,TN-803339-005,"12.90049, 80.23649",Tamil Nadu,18,17.98,4,32,5.4,20,80,19.8,0.05,0.8,0.67,0.1,32,50,5,19,3.3,1.8,350,94,10,10,10,0,10,10,50,12.90049,80.23649
95,MP-802273-006,"22.700939, 75.884802",MADHYA PRADESH,35,20,5,4.8,9.6,23,21,80,0.05,0.05,1.47,1,0.7,5.32,5,5,20,170,9200,240,10,0,0,10,10,10,40,22.700939,75.884802
96,CH-800286-004,"30.6745288, 76.8136798",CHANDIGARH,9.08,9.08,11,2,1,68,12,5,0.05,0.05,0.05,0.1,0.1,1,5,5,5,13,1.8,4,10,10,10,10,10,10,60,30.6745288,76.8136798
97,MH-802788-007,"19.123081, 72.992265",MAHARASHTRA,80,80,24,11,8,74,32.4,29.41,1.8,1,0.5,15.3,3,6.9,8,2,41,33,3500,900,10,10,10,10,0,0,40,19.123081,72.992265
98,MH-802788-003,"19.0517054, 73.0096982",MAHARASHTRA,37.5,0,5,12,5,10,34.1,9.09,1.7,0.9,0.5,14.6,2.8,4.6,4,3,124,1720,5400,22,10,10,10,10,0,10,50,19.0517054,73.0096982
99,GJ-802629-019,"21.2009, 72.7335",Gujarat,37.5,16.24,16.5,16.5,6.14,51.36,56.98,20.62,1.25,0.38,0.728,2.28,5,2.94,10,10,17,9,22,170,10,10,10,10,10,10,60,21.2009,72.7335
100,MP-802109-044,"25.6908325, 78.4734333",Madhya Pradesh,12,5.83,7.2,4.4,3.6,60,19,30,1.496,0.05,2.5,7.52,0.6,7.84,28,5,18,240,4.5,220,10,10,0,10,10,10,50,25.6908325,78.4734333
101,MP-802273-008,"22.7058062, 75.9071748",MADHYA PRADESH,0.5,0.5,8,2.6,24,40,10,200,0.05,0.05,2.11,1,0.1,9.044,5,5,8,1.8,1600,266,0,0,0,10,10,0,20,22.7058062,75.9071748
102,CH-800286-003,"30.6792403, 76.8232009",CHANDIGARH,22.7,22.7,7,3,1,32,17,2,0.05,0.05,0.05,0.1,0.9,1,5,5,5,11,94,3,10,10,10,10,10,10,60,30.6792403,76.8232009
103,GJ-802484-002,"23.0242321, 72.6326721",Gujarat,30,28,26.8,11.43,5,101,39.81,19.61,1.28,2.42,2.38,5.21,3.99,5.75,19,13,65.5,1.8,33,4,10,10,0,10,0,10,40,23.0242321,72.6326721
104,GJ-802484-006,"23.0634755, 72.5975604",Gujarat,25,0,18.4,19.8,8.5,70.7,78.4,29.41,1.18,2.98,2.12,9.44,8.25,9.2,13,7,110.5,1.8,70,110,10,10,0,10,0,10,40,23.0634755,72.5975604
105,HR-800361-002,"30.8298439, 76.9375026",HARYANA,4.5,2.5,3,10,2,10,30,11,0.652,3.3,0.32,1,4.26,5.5,5,14,14,1.8,25,12,10,10,10,10,10,10,60,30.8298439,76.9375026
106,HR-800365-001,"30.3798195, 76.758816",HARYANA,5,0,18.74,15,8,54.54,60,4,14.66,3.1,0.2,58.34,23.8,1,6.89,12,12,342,190,5,10,10,10,10,10,10,60,30.3798195,76.758816
107,HR-800365-002,"30.3799879, 76.7593653",HARYANA,5,0,2,8,9,5,38,4,0.052,2.1,0.15,3.11,18.8,1,20,9,13,280,340,4,10,10,10,10,10,10,60,30.3799879,76.7593653
108,HR-800365-007,"30.3570579, 76.7583597",HARYANA,3.25,3.25,14.3,10,3,68.2,40,12,3,2.3,0.22,58.8,18.2,1,8.56,7,18,85,320,5,10,10,10,10,10,10,60,30.3570579,76.7583597
109,HR-800365-009,"30.3633288, 76.7911761",HARYANA,6,6,7,11.5,10,40,48,45,0,2.3,0.05,0,19.6,1,0,6,7,1700,280,7,10,10,10,10,10,10,60,30.3633288,76.7911761
110,HR-800405-001,"29.16425, 75.6984398",HARYANA,40,35,17.47,14,1.6,60.95,55,6.8,3.88,2.9,0.05,60.01,24.2,1,8.18,8,8,109,345,4,10,10,10,10,10,10,60,29.16425,75.6984398
111,TN-803323-002,"13.1479624, 80.0599535",TAMILNADU,4,2.5,9.66,9.2,9.8,40.7,29.2,40,0.65,0.78,0.55,9.86,48,46,19.2,5.7,2.2,2,220,150,10,10,10,0,10,10,50,13.1479624,80.0599535
112,TN-804026-001,"11.1268009, 77.4147921",TAMILNADU,30,8.5,48,18,8.4,112,58,40.92,4.3,2.6,4.53,40,54,16.9,8,29.8,22,430,150,11,10,10,0,0,10,10,40,11.1268009,77.4147921
113,TN-804026-002,"11.131784, 77.414542",TAMILNADU,36,7,48,6.4,7.6,112,33,36.83,0.61,3.3,3.37,46,40,15.89,12,4.6,14,540,220,2,10,10,0,0,10,10,40,11.131784,77.414542
114,TN-803339-001,"13.1417347, 80.2591926",Tamil Nadu,120,90,2,24,12,11.8,72,44,0.36,0.5,0.61,0,31,51,0,14,2.3,36,170,120,0,10,10,0,10,10,40,13.1417347,80.2591926
115,TN-803339-012,"13.072751, 80.2651123",Tamil Nadu,10,6.5,13,4,14,48,20,52,0.1,1.9,0.73,28,36,45,9,10,4.9,130,70,110,0,10,10,0,10,10,40,13.072751,80.2651123
116,MH-802788-006,"19.12328, 72.992284",MAHARASHTRA,30,0,18,23,22,55.8,68,137.25,1.3,2,1.67,14.2,3.4,21.84,4,6,68.5,2210,9200,2,0,0,0,0,0,10,10,19.12328,72.992284
117,MH-802776-004,"19.9800071, 73.8549547",MAHARASHTRA,21,18.5,17,27,5,56,80,19.61,1,3.2,1.41,5.7,3.8,6.9,6,8,75,1720,2400,17,10,10,0,10,0,10,40,19.9800071,73.8549547
118,MH-802776-003,"19.9810372, 73.8582625",MAHARASHTRA,7.5,7.5,18,24,6,55.2,72,19.61,1.8,1.8,0.5,14.4,3.7,9.2,5,10,110,5420,1700,350,10,10,10,10,0,0,40,19.9810372,73.8582625
119,MH-802788-001,"19.0200507, 73.0478578",MAHARASHTRA,19,19,20,16,13.5,59.9,48,49.02,1.2,1.5,1.26,12.9,2.9,12.64,2,4,89,2210,2400,2,0,10,0,0,0,10,20,19.0200507,73.0478578
120,MH-802814-002,"18.5638947, 73.7965456",MAHARASHTRA,30,30,13,2.8,1,39.6,98,10.24,1.6,2,0.5,16.9,3.3,2,3,24,7,21,3500,110,10,10,10,10,10,10,60,18.5638947,73.7965456
121,TN-803339-018,"12.9568956, 80.2356775",Tamil Nadu,60,59,2,36,12,12.8,80,48,0.45,0.8,0.83,1.8,30,53,11.2,22,5.2,64,340,170,0,10,10,0,10,10,40,12.9568956,80.2356775
